Anos,Melhor Ator,Melhor Atriz,Melhor Ator Quadjuvante,Melhor Atriz Quadjuvante,Protagonista Melhor Filme
2000,infp,esfp,infj,estp,infp
2001,entj,enfp,,,entj
2002,estp,,istp,entj,intp
2003,infj,infp,isfp,estp,esfp
2004,entj,esfp,intp,estj,infp
2005,esfp,isfp,,entj,isfp
2006,enfp,enfj,estp,enfp,estp
2007,esfp,istj,intp,entj,isfp
2008,entj,isfp,entp,istj,intp
2009,enfj,isfp,entp,enfp,infp
2010,,estj,estp,estj,estp
2011,istj,infj,enfj,estj,istj
2012,entp,entj,entp,estj,entp
2013,intp,isfp,esfp,isfp,istj
2014,estp,esfj,entj,isfp,infj
2015,intp,infj,intp,enfj,enfp
2016,intj,enfj,enfj,enfj,entj
2017,istp,enfj,esfp,isfj,isfp
2018,estp,estj,infj,entj,infp
2019,esfp,isfp,infj,enfj,infj
2020,infp,enfj,istp,estj,isfp
2021,entp,isfp,infj,enfp,isfp
2022,entj,esfj,istp,estj,isfp
2023,infp,estj,infp,estj,estj
