Carimbo de data/hora,Qual o seu MBTI?,Escolha até 5 filmes de que você mais goste,Escolha até 5 filmes de que você menos goste
11/05/2023 14:21:30,INTP,"O Lobo de Wall Street, Matrix, Genio Indomavel, Batman: O cavalheiro das trevas, Forrest Gump","Amnesia, A lista de Schindler"
15/05/2023 11:16:29,INFP,"Toy Story, Brilho Eterno de uma Mente sem Lembrancas, Sociedade dos Poetas Mortos, Divertida Mente, Guerra nas estrelas","Homem-Aranha: Sem Volta para Casa, Caes de Aluguel, Spotlight: Segredos Revelados, Se7en, Ilha do Medo"
15/05/2023 11:33:33,INFP,"A origem, Interestelar, Monstros S.A., Toy Story, WALL-E","Forrest Gump, Os infiltrados, O Sexto Sentido, Spotlight: Segredos Revelados, Bastardos Inglorios"
15/05/2023 11:45:12,ESFP,"Brilho Eterno de uma Mente sem Lembrancas, A espera de um milagre, O Iluminado, Sociedade dos Poetas Mortos, Se7en","Spotlight: Segredos Revelados, A viagem de chihiro, Dangal, Batman: O cavalheiro das trevas, Garota Exemplar"
15/05/2023 11:48:52,ISFJ,"Guerra nas estrelas, Vingadores: Ultimato, Procurando Nemo, O senhor dos aneis, WALL-E","O Sexto Sentido, Jurassic Park"
15/05/2023 11:52:14,INFP,"Procurando Nemo, Os Incriveis, WALL-E, Monstros S.A., Como Treinar o Seu Dragao","Guerra nas estrelas, O poderoso Chefao, O senhor dos aneis, Batman: O cavalheiro das trevas, Toy Story"
15/05/2023 11:58:49,ISFJ,"De volta para o futuro, Os Incriveis, Batman: O cavalheiro das trevas, Como Treinar o Seu Dragao, A viagem de chihiro","Forrest Gump, O poderoso Chefao, Pulp Fiction"
15/05/2023 12:26:24,ENFJ,"WALL-E, Os Incriveis, A viagem de chihiro, Procurando Nemo, Interestelar","Batman: O cavalheiro das trevas, Forrest Gump"
15/05/2023 12:30:38,INTP,"Como Treinar o Seu Dragao, Ilha do Medo, O Lobo de Wall Street, WALL-E, O poderoso Chefao","A Outra Historia Americana, Kill Bill: Volume 1, Bastardos Inglorios, Spotlight: Segredos Revelados, O profissional"
15/05/2023 12:31:35,INFJ,"O senhor dos aneis, Kill Bill: Volume 1, A lista de Schindler, O Show de Truman: O Show da Vida, Django Livre","Como Treinar o Seu Dragao, Vingadores: Ultimato, Gladiador, Monstros S.A."
15/05/2023 12:34:33,INTJ,"Django Livre, Interestelar, Procurando Nemo, Homem-Aranha: Sem Volta para Casa, Como Treinar o Seu Dragao",Divertida Mente
15/05/2023 12:48:15,INFJ,"Procurando Nemo, De volta para o futuro, Sociedade dos Poetas Mortos, Clube da luta, Forrest Gump","Matrix, A viagem de chihiro, Jurassic Park, Gladiador, Garota Exemplar"
15/05/2023 12:52:19,ISFJ,"V de Vinganca, Guerra nas estrelas, Batman: O cavalheiro das trevas, Jurassic Park, Vingadores: Ultimato","Ilha do Medo, O resgate do soldado Ryan, O Iluminado, O senhor dos aneis, De volta para o futuro"
15/05/2023 13:02:22,INTP,"O Lobo de Wall Street, Forrest Gump, Um sonho de Liberdade, Os suspeitos, Bastardos Inglorios","A viagem de chihiro, Matrix"
15/05/2023 13:19:36,INFP,"O senhor dos aneis, O rei leao, De volta para o futuro, Forrest Gump, Jurassic Park","Gladiador, Django Livre, Caes de Aluguel, O poderoso Chefao, Interestelar"
15/05/2023 14:37:10,ISFP,"O Show de Truman: O Show da Vida, Brilho Eterno de uma Mente sem Lembrancas, Garota Exemplar, V de Vinganca, Interestelar","Prenda-me se for Capaz, Homem-Aranha: Sem Volta para Casa, Gladiador, Vingadores: Ultimato, Batman: O cavalheiro das trevas"
15/05/2023 15:13:06,INTJ,"Ilha do Medo, Interestelar, Gladiador, Batman: O cavalheiro das trevas, O Show de Truman: O Show da Vida","Toy Story, Procurando Nemo, Monstros S.A., Genio Indomavel, Como Treinar o Seu Dragao"
15/05/2023 16:16:23,INTJ,"Batman: O cavalheiro das trevas, Interestelar, Vingadores: Ultimato, Garota Exemplar, A viagem de chihiro","Jurassic Park, Homem-Aranha: Sem Volta para Casa, Como Treinar o Seu Dragao, O Iluminado"
15/05/2023 16:20:10,INFJ,"O Show de Truman: O Show da Vida, Como Treinar o Seu Dragao, Bastardos Inglorios, Guerra nas estrelas, Interestelar","O senhor dos aneis, Matrix"
15/05/2023 16:25:25,INFP,"Como Treinar o Seu Dragao, Monstros S.A., Jurassic Park, Divertida Mente, A vida e bela","Fogo Contra Fogo, Pulp Fiction, Batman: O cavalheiro das trevas, Whiplash, Toy Story"
15/05/2023 16:28:26,INFJ,"Batman: O cavalheiro das trevas, Se Meu Apartamento Falasse, Brilho Eterno de uma Mente sem Lembrancas, Sociedade dos Poetas Mortos, Whiplash","Gloria Feita de Sangue, Dangal, Amnesia, Fargo: Uma Comedia de Erros"
15/05/2023 16:32:04,ISTJ,"WALL-E, Interestelar, Ilha do Medo, O senhor dos aneis, A espera de um milagre",Sociedade dos Poetas Mortos
16/05/2023 09:43:41,INFP,"A origem, Amnesia, Interestelar, Ilha do Medo, O senhor dos aneis","Divertida Mente, Jurassic Park, Procurando Nemo, Toy Story, Brilho Eterno de uma Mente sem Lembrancas"
16/05/2023 10:48:20,ENTP,"A viagem de chihiro, Interestelar, Guerra nas estrelas, Forrest Gump, O senhor dos aneis","Divertida Mente, Procurando Nemo, Jurassic Park"
16/05/2023 10:50:55,INFJ,"Toy Story, V de Vinganca, Interestelar, Se7en, Batman: O cavalheiro das trevas","WALL-E, Kill Bill: Volume 1"
16/05/2023 10:52:04,ENFP,"O Iluminado, O Sexto Sentido, Whiplash, O silencio dos inocentes, O poderoso Chefao","O rei leao, Brilho Eterno de uma Mente sem Lembrancas, Divertida Mente, Se Meu Apartamento Falasse"
16/05/2023 10:52:47,INFJ,"Procurando Nemo, Os Incriveis, WALL-E, Matrix, Vingadores: Ultimato",Kill Bill: Volume 1
16/05/2023 10:58:51,ENFP,"Kill Bill: Volume 1, Django Livre, O rei leao, Procurando Nemo, O Lobo de Wall Street","A lista de Schindler, Como Treinar o Seu Dragao, Homem-Aranha: Sem Volta para Casa, Se Meu Apartamento Falasse, Caes de Aluguel"
