NomeFilme,MBTI1,MBTI2,MBTI3
Um sonho de Liberdade,intj,istp,estj
Batman: O cavalheiro das trevas,intj,entp,enfj
A origem,istp,istj,intp
Clube da luta,isfj,estp,esfp
Forrest Gump,isfj,estj,esfp
Pulp Fiction,istp,enfj,entp
Matrix,intp,enfj,intj
O senhor dos anéis,infp,intj,infj
O poderoso Chefão,infj,intj,istj
Interestelar,istp,infp,infp
Batman: O Cavaleiro das Trevas Ressurge,intj,entj,estp
Se7en,intp,esfp,infj
Django Livre,entp,istp,estp
Gladiador,entj,enfj,infj
Bastardos Inglórios,entp,intj,estp
O silencio dos inocentes,intj,intj,infp
O Lobo de Wall Street,estp,esfj,enfp
O resgate do soldado ryan,istj,isfp,estj
Guerra nas estrelas,infp,estp,istj
A lista de Schindler,estp,istj,entj
O Grande Ditador,infj,isfj,enfp
Ilha do Medo,istj,infj,enfj
Os infiltrados,isfp,estj,entj
Coringa,infp,estp,isfp
À espera de um milagre,isfj,infj,esfp
Amnésia,istj,estj,istp
De volta para o futuro,esfp,entp,estp
Os bons companheiros,isfp,entj,estp
O profissional,istj,esfp,entj
Beleza Americana,infp,estj,esfp
Vingadores: Ultimato,entp,isfj,intj
Piratas do Caribe: A Maldição do Pérola Negra,entp,isfj,esfp
A Outra História Americana ,entj,isfp,infj
WALL·E,infp,istj,enfp
V de Vingança,intj,infp,estj
Kill Bill: Volume 1,isfp,entj,entp
O exterminador do futuro 2,istj,estp,istp
Vingadores: Guerra Infinita,entp,intj,estp
O Show de Truman: O Show da Vida,enfp,intj,esfj
Os Suspeitos (The Usual Suspects),intj,istj,esfp
O rei leão,esfp,enfj,intj
"Star Wars, Episódio VI: O Retorno do Jedi",infp,entj,istj
Up: Altas Aventuras,istj,esfj,esfp
Procurando Nemo,esfp,enfp,istj
Coração Valente,enfj,entj,istj
O Iluminado,estp,isfj,infj
Cães de Aluguel ,enfj,isfp,istp
Brilho Eterno de uma Mente sem Lembranças,isfj,enfp,
Mad Max: Estrada da Fúria,istp,entj,entj
Um estranho no ninho,estp,istj,infj
Prenda-me se for Capaz,entp,istj,isfj
Toy Story,esfj,estp,enfp
 Jurassic Park,istp,entp,enfp
O Sexto Sentido,infj,infj,istj
Garota Exemplar,infj,estp,isfj
Gênio Indomável,intp,infp,entj
 Onde os Fracos Não Têm Vez,intp,istp,isfj
Os Caçadores da Arca Perdida,istp,esfp,entj
 Uma Mente Brilhante,intp,entj,estp
Monstros S.A.,isfp,entj,esfp
Alien - O 8º Passageiro,intj,istj,istp
Duro de Matar,istp,intj,enfj
Whiplash,isfp,entj,infj
Harry Potter e as Relíquias da Morte - Parte 2,isfp,estj,esfp
Intocáveis ,infj,esfp,esfj
 Snatch: Porcos e Diamantes,istp,estp,estj
 Scarface ,estp,istp,esfp
Réquiem para um Sonho,isfp,isfp,esfj
Taxi Driver: Motorista de Táxi ,istp,esfp,estp
O pianista,infj,istj,estj
Parasita,isfp,istp,esfp
 Laranja Mecânica ,entp,intj,esfp
O Grande Hotel Budapeste ,entp,isfj,istj
O Grande Lebowski ,isfp,estj,estj
12 Homens e uma sentença,infj,estj,enfj
 Homem-Aranha: Sem Volta para Casa,enfp,intj,intp
Gran Torino ,istj,isfp,enfp
A viagem de chihiro,infp,intj,estj
Logan ,istp,istp,infj
Três homens em conflito,istp,entj,estp
Cidade de deus,isfp,estp,enfj
O Fabuloso Destino de Amélie Poulain,infp,isfp,infj
Ratatouille ,isfp,infp,istj
Como Treinar o Seu Dragão,intp,isfp,istj
Os Incríveis,esfp,estj,enfp
Nascido para Matar ,entp,estj,isfp
Os suspeitos,estj,istp,isfj
Divertida Mente ,enfj,infp,enfp
12 Anos de Escravidão ,infj,estj,isfp
A vida é bela,enfp,isfj,infp
 Trainspotting: Sem Limites,intp,entp,estp
Menina de Ouro,isfp,istj,intp
 Fargo: Uma Comédia de Erros ,esfj,esfj,entp
Psicose,isfj,isfp,enfp
2001: Uma Odisséia no Espaço,intp,intj,intj
Apocalypse Now ,istp,infj,estp
O Labirinto do Fauno,infp,estj,isfj
 Fogo Contra Fogo ,entj,intj,istp
 Feitiço do Tempo,istp,isfj,esfj
Na Natureza Selvagem,infp,istp,isfp
Tubarão,istj,istp,entp
1917,isfj,esfp,istj
Sangue Negro ,entj,enfj,isfj
Rocky: Um Lutador ,isfp,estp,estj
" Jogos, Trapaças e Dois Canos Fumegantes ",intp,istj,entp
Oldboy,estp,infj,isfj
 Los Angeles: Cidade Proibida,istj,isfp,entp
Casablanca,istp,isfj,infj
Top Gun: Maverick ,estp,istj,estp
Homem-Aranha: No Aranhaverso,isfp,intp,istp
 Monty Python em Busca do Cálice Sagrado,entj,estp,isfp
Até o Último Homem,infp,estp,estj
Cassino ,istj,estp,esfp
Viva – A Vida É uma Festa,esfp,entp,esfj
 Três Anúncios para um Crime,estj,enfj,esfp
Green Book: O Guia,infj,estp,esfj
Sociedade dos Poetas Mortos,enfp,infp,enfj
Janela Indiscreta,istp,enfj,istj
Dr. Fantástico,istj,isfj,entp
 Rush: No Limite da Emoção,esfp,intj,isfp
 Spotlight: Segredos Revelados,entj,infp,istj
A felicidade nao se compra,enfp,infp,istj
Histórias Cruzadas ,isfj,infp,estj
Cidadão Kane ,entj,istp,esfp
 O Enigma de Outro Mundo ,istp,intp,intj
Aladdin,esfp,esfp,enfp
O Quarto de Jack,infp,enfj,entj
Platoon ,infp,enfj,estj
Os Imperdoáveis,istp,estj,infj
O Exorcista,enfp,infj,infj
 Conta Comigo,infp,infj,esfj
 Ford vs Ferrari ,istp,estp,istj
Um Corpo que Cai ,intp,infj,enfj
3 idiotas,entp,isfp,isfj
O Castelo Animado,isfj,enfp,entp
 O Mágico de Oz,enfp,entp,intj
Amadeus,esfp,intj,esfj
A Vida dos Outros,istj,infp,esfp
Princesa Mononoke,infj,isfp,entj
A Vida dos Outros,istj,infp,esfp
Touro Indomável ,estp,enfp,isfp
A Queda! As Últimas Horas de Hitler ,infj,isfj,esfp
Hotel Ruanda ,infj,isfj,enfp
Era uma Vez na América ,istj,entj,intj
Os sete samurais,esfp,infj,istj
Meu Amigo Totoro ,infp,enfp,enfj
O Franco Atirador ,istp,isfp,enfp
A Caça ,infj,infp,isfp
 Era uma Vez no Oeste,istp,istp,entj
 Intriga Internacional ,estp,enfj,estp
 Chinatown,istp,intp,entj
...E o Vento Levou ,estp,entp,infp
 O Sol é para Todos ,infj,enfp,enfj
Antes do amanhecer,entp,infp,
Lawrence da Arábia,infj,intp,infj
 Sempre ao Seu Lado,isfj,isfj,estj
Túmulo dos vagalumes,istj,enfp,estj
Your Name,infp,istp,infp
 Dança com Lobos ,enfp,infp,infj
Quanto Mais Quente Melhor,esfp,entp,esfj
 Golpe de Mestre ,entp,estp,estj
Cinema paradiso,entp,isfp,infj
Por uns Dólares a Mais ,istp,infj,intj
O Barco: Inferno no Mar,istj,enfp,
A Separação,istj,istj,isfj
Cantando na Chuva,estp,istj,entp
Tempos modernos,isfp,enfp,
 O Homem Elefante,isfj,istj,estj
Amores Brutos,esfp,isfj,intp
 Ben-Hur ,infj,estj,estp
